Macrotrends Data Download,,
,,
World Life Expectancy 1950-2022,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Life Expectancy from Birth (Years), Annual % Change
1950,45.514,
1951,45.996,1.06
1952,46.478,1.05
1953,46.96,1.04
1954,47.442,1.03
1955,47.924,1.02
1956,48.406,1.01
1957,48.888,1
1958,49.37,0.99
1959,49.732,0.73
1960,50.094,0.73
1961,50.456,0.72
1962,50.818,0.72
1963,51.18,0.71
1964,52.03,1.66
1965,52.88,1.63
1966,53.73,1.61
1967,54.58,1.58
1968,55.43,1.56
1969,55.962,0.96
1970,56.494,0.95
1971,57.026,0.94
1972,57.558,0.93
1973,58.09,0.92
1974,58.526,0.75
1975,58.962,0.74
1976,59.398,0.74
1977,59.834,0.73
1978,60.27,0.73
1979,60.63,0.6
1980,60.99,0.59
1981,61.35,0.59
1982,61.71,0.59
1983,62.07,0.58
1984,62.398,0.53
1985,62.726,0.53
1986,63.054,0.52
1987,63.382,0.52
1988,63.71,0.52
1989,63.88,0.27
1990,64.05,0.27
1991,64.22,0.27
1992,64.39,0.26
1993,64.56,0.26
1994,64.774,0.33
1995,64.988,0.33
1996,65.202,0.33
1997,65.416,0.33
1998,65.63,0.33
1999,65.914,0.43
2000,66.198,0.43
2001,66.482,0.43
2002,66.766,0.43
2003,67.05,0.43
2004,67.424,0.56
2005,67.798,0.55
2006,68.172,0.55
2007,68.546,0.55
2008,68.92,0.55
2009,69.312,0.57
2010,69.704,0.57
2011,70.096,0.56
2012,70.488,0.56
2013,70.88,0.56
2014,71.16,0.4
2015,71.44,0.39
2016,71.72,0.39
2017,72,0.39
2018,72.28,0.39
2019,72.456,0.24
2020,72.632,0.24
2021,72.808,0.24
2022,72.984,0.24
2023,73.16,0.24
2024,73.326,0.23
2025,73.492,0.23
2026,73.658,0.23
2027,73.824,0.23
2028,73.99,0.22
2029,74.15,0.22
2030,74.31,0.22
2031,74.47,0.22
2032,74.63,0.21
2033,74.79,0.21
2034,74.93,0.19
2035,75.07,0.19
2036,75.21,0.19
2037,75.35,0.19
2038,75.49,0.19
2039,75.622,0.17
2040,75.754,0.17
2041,75.886,0.17
2042,76.018,0.17
2043,76.15,0.17
2044,76.274,0.16
2045,76.398,0.16
2046,76.522,0.16
2047,76.646,0.16
2048,76.77,0.16
2049,76.886,0.15
2050,77.002,0.15
2051,77.118,0.15
2052,77.234,0.15
2053,77.35,0.15
2054,77.46,0.14
2055,77.57,0.14
2056,77.68,0.14
2057,77.79,0.14
2058,77.9,0.14
2059,78.002,0.13
2060,78.104,0.13
2061,78.206,0.13
2062,78.308,0.13
2063,78.41,0.13
2064,78.51,0.13
2065,78.61,0.13
2066,78.71,0.13
2067,78.81,0.13
2068,78.91,0.13
2069,79.006,0.12
2070,79.102,0.12
2071,79.198,0.12
2072,79.294,0.12
2073,79.39,0.12
2074,79.482,0.12
2075,79.574,0.12
2076,79.666,0.12
2077,79.758,0.12
2078,79.85,0.12
2079,79.942,0.12
2080,80.034,0.12
2081,80.126,0.11
2082,80.218,0.11
2083,80.31,0.11
2084,80.404,0.12
2085,80.498,0.12
2086,80.592,0.12
2087,80.686,0.12
2088,80.78,0.12
2089,80.872,0.11
2090,80.964,0.11
2091,81.056,0.11
2092,81.148,0.11
2093,81.24,0.11
2094,81.332,0.11
2095,81.424,0.11
2096,81.516,0.11
2097,81.608,0.11
2098,81.7,0.11
2099,81.792,0.11
2100,81.884,0.11